
2024/03/31 (21:12:12) | ===> btop++ v.1.3.2
2024/03/31 (21:12:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:20:08) | ===> btop++ v.1.3.2
2024/03/31 (21:20:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:20:22) | ===> btop++ v.1.3.2
2024/03/31 (21:20:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:24:07) | ===> btop++ v.1.3.2
2024/03/31 (21:24:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:24:46) | ===> btop++ v.1.3.2
2024/03/31 (21:24:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:24:51) | ===> btop++ v.1.3.2
2024/03/31 (21:24:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:31:42) | ===> btop++ v.1.3.2
2024/03/31 (21:31:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:54:34) | ===> btop++ v.1.3.2
2024/03/31 (21:54:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:55:53) | ===> btop++ v.1.3.2
2024/03/31 (21:55:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/31 (21:56:12) | ===> btop++ v.1.3.2
2024/03/31 (21:56:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
